NCESSchool,SchoolName,StreetAddr,City,State,ZipCode,Zip_4,Enrollment,Telephone,Locale,LocaleDesc,MSA_Cat,SchoolType,TypeDesc,SchoolLeve,LevelDesc,LowestGrad,HighestGra
560142000049,BURLINGTON ELEMENTARY,P.O. BOX 9,BURLINGTON,WY,82411,9,171.0,3077623334,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560142000050,BYRON ELEMENTARY,P.O. BOX 176,BYRON,WY,82412,176,64.0,3075482723,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560142000051,COWLEY ELEMENTARY,P.O. BOX 38,COWLEY,WY,82420,38,81.0,3075482211,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560142000052,DEAVER FRANNIE ELEMENTARY,P.O. BOX 33,FRANNIE,WY,82423,33,50.0,3076642331,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560142000428,ROCKY MOUNTAIN MIDDLE SCHOOL,P.O. BOX 185,DEAVER,WY,82421,185,113.0,3076642252,7,Rural,Non-MSA,1,Regular,2,Middle,06,08
560142000477,BURLINGTON JUNIOR HIGH SCHOOL,109 NORTH STREET,BURLINGTON,WY,82411,,48.0,3077623334,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560142000478,BURLINGTON HIGH SCHOOL,109 NORTH STREET,BURLINGTON,WY,82411,,73.0,3077623334,7,Rural,Non-MSA,1,Regular,3,High,09,12
560146000054,LOVELL HIGH SCHOOL,502 HAMPSHIRE,LOVELL,WY,82431,1613,224.0,3075482256,7,Rural,Non-MSA,1,Regular,3,High,09,12
560146000055,LOVELL MIDDLE SCHOOL,325 W. 9TH,LOVELL,WY,82431,1500,155.0,3075486553,7,Rural,Non-MSA,1,Regular,2,Middle,06,08
560146000056,LOVELL ELEMENTARY,520 SHOSHONE,LOVELL,WY,82431,1920,324.0,3075482247,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560147000019,PRONGHORN ELEMENTARY,3005 OAKCREST DR.,GILLETTE,WY,82718,5901,428.0,3076821676,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000057,CAMPBELL COUNTY HIGH SCHOOL,1000 CAMEL DRIVE,GILLETTE,WY,82716,4950,1580.0,3076827247,6,Town,Non-MSA,1,Regular,3,High,10,12
560147000058,TWIN SPRUCE JUNIOR HIGH SCHOOL,7TH & GILLETTE AVENUE,GILLETTE,WY,82716,4293,824.0,3076823144,6,Town,Non-MSA,1,Regular,2,Middle,07,09
560147000064,COTTONWOOD ELEMENTARY,P.O. BOX 330,WRIGHT,WY,82732,330,198.0,3079391381,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560147000067,HILLCREST ELEMENTARY,800 BUTLER-SPAETH ROAD,GILLETTE,WY,82716,4612,317.0,3076827291,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000068,LITTLE POWDER ELEMENTARY,P.O. BOX 100,WESTON,WY,82731,100,18.0,3076822725,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560147000069,MEADOWLARK ELEMENTARY,816 EAST 7TH,GILLETTE,WY,82716,4430,246.0,3076824740,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000070,LAKEVIEW ELEMENTARY,410 LAKESIDE DRIVE,GILLETTE,WY,82716,2822,310.0,3076827293,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000071,RAWHIDE ELEMENTARY,200 PROSPECTOR PARKWAY,GILLETTE,WY,82716,9807,130.0,3076820774,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560147000072,RECLUSE SCHOOL,13 GREENOUGH RD,RECLUSE,WY,82725,9802,27.0,3076829612,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560147000073,ROZET ELEMENTARY,P.O. BOX 200,ROZET,WY,82727,200,335.0,3076823133,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560147000076,WAGONWHEEL ELEMENTARY,800 HEMLOCK,GILLETTE,WY,82716,2525,370.0,3076861060,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000349,STOCKTRAIL ELEMENTARY,800 STOCKTRAIL AVENUE,GILLETTE,WY,82716,4151,255.0,3076827289,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000409,CONESTOGA ELEMENTARY,4901 SLEEPY HOLLOW BOULEVARD,GILLETTE,WY,82718,7496,332.0,3076862373,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560147000410,SAGE VALLEY JUNIOR HIGH SCHOOL,1000 WEST LAKEWAY ROAD,GILLETTE,WY,82718,5633,837.0,3076822225,6,Town,Non-MSA,1,Regular,2,Middle,07,09
560147000429,WRIGHT JR./SR. HIGH SCHOOL,P.O. BOX 490,WRIGHT,WY,82732,490,267.0,3074640140,7,Rural,Non-MSA,1,Regular,3,High,07,12
560147000435,PAINTBRUSH ELEMENTARY,1001 W LAKEWAY ROAD,GILLETTE,WY,82718,5632,383.0,3076861778,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000436,SUNFLOWER ELEMENTARY,2500 S DOGWOOD AVENUE,GILLETTE,WY,82718,5855,416.0,3076860631,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000454,4-J ELEMENTARY SCHOOL,2830 HIGHWAY 50A,GILLETTE,WY,82718,9805,43.0,3076823076,6,Town,Non-MSA,1,Regular,1,Primary,KG,06
560147000479,WESTWOOD HIGH SCHOOL,601 ROHAN,GILLETTE,WY,82716,4160,125.0,3076829809,6,Town,Non-MSA,4,Voc/Tech/Other,3,High,09,12
560170000078,ENCAMPMENT HIGH SCHOOL,P.O. BOX 277,ENCAMPMENT,WY,82325,277,44.0,3073275442,7,Rural,Non-MSA,1,Regular,3,High,09,12
560170000081,SARATOGA MIDDLE SCHOOL,P.O. BOX 1710,SARATOGA,WY,82331,1710,86.0,3073268351,7,Rural,Non-MSA,1,Regular,2,Middle,06,08
560170000084,ELK MOUNTAIN ELEMENTARY,P.O. BOX 100,ELK MOUNTAIN,WY,82324,100,24.0,3073487731,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560170000085,HANNA ELEMENTARY,P.O. BOX 1000,HANNA,WY,82327,1000,100.0,3073256523,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560170000087,MEDICINE BOW ELEMENTARY,P.O. BOX 185,MEDICINE BOW,WY,82329,185,17.0,3073792345,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560170000088,SARATOGA ELEMENTARY,P.O. BOX 1710,SARATOGA,WY,82331,1710,130.0,3073268365,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560170000411,H.E.M. SENIOR HIGH,P.O. BOX 810,HANNA,WY,82327,810,89.0,3073256545,7,Rural,Non-MSA,1,Regular,3,High,09,12
560170000412,SARATOGA HIGH SCHOOL,P.O. BOX 1710,SARATOGA,WY,82331,1710,127.0,3073265246,7,Rural,Non-MSA,1,Regular,3,High,09,12
560170000455,ENCAMPMENT ELEMENTARY,P.O. BOX 277,ENCAMPMENT,WY,82325,277,50.0,3073275442,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560170000495,H.E.M. JUNIOR HIGH,P.O. BOX 810,HANNA,WY,82327,810,32.0,3073256545,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560170000496,ENCAMPMENT JUNIOR HIGH SCHOOL,P.O. BOX 277,ENCAMPMENT,WY,82325,277,25.0,3073275442,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560198000090,CENTRAL HIGH SCHOOL,5500 EDUCATION DRIVE,CHEYENNE,WY,82009,4008,1248.0,3077712680,2,Central City,Within MSA,1,Regular,3,High,10,12
560198000091,EAST HIGH SCHOOL,2800 EAST PERSHING BOULEVARD,CHEYENNE,WY,82001,5762,1587.0,3077712663,2,Central City,Within MSA,1,Regular,3,High,09,12
560198000092,TRIUMPH HIGH SCHOOL,2201 MORRIE AVENUE,CHEYENNE,WY,82001,3945,270.0,3077712500,2,Central City,Within MSA,4,Voc/Tech/Other,3,High,08,12
560198000093,CAREY JUNIOR HIGH SCHOOL,1780 EAST PERSHING BOULEVARD,CHEYENNE,WY,82001,4103,1126.0,3077712580,2,Central City,Within MSA,1,Regular,2,Middle,07,09
560198000094,JOHNSON JUNIOR HIGH SCHOOL,1236 WEST ALLISON ROAD,CHEYENNE,WY,82007,2752,857.0,3077712640,2,Central City,Within MSA,1,Regular,2,Middle,07,09
560198000095,MCCORMICK JUNIOR HIGH SCHOOL,6000 EDUCATION DR,CHEYENNE,WY,82009,3991,1119.0,3077712650,2,Central City,Within MSA,1,Regular,2,Middle,07,09
560198000096,ALTA VISTA ELEMENTARY,1514 EAST 16TH STREET,CHEYENNE,WY,82001,4999,333.0,3077712310,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000097,ARP ELEMENTARY,1216 REINER COURT,CHEYENNE,WY,82007,,313.0,3077712365,4,Urban Fringe,Within MSA,1,Regular,1,Primary,KG,06
560198000098,BAGGS ELEMENTARY,3705 CHEYENNE STREET,CHEYENNE,WY,82001,1880,305.0,3077712385,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000099,BAIN ELEMENTARY,903 ADAMS AVENUE,CHEYENNE,WY,82001,6672,379.0,3077712525,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000100,BUFFALO RIDGE ELEMENTARY,5331 PINERIDGE AVENUE,CHEYENNE,WY,82009,5208,302.0,3077712595,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000101,CHURCHILL ELEMENTARY,510 WEST 29TH STREET,CHEYENNE,WY,82001,2760,133.0,3077712410,2,Central City,Within MSA,1,Regular,1,Primary,03,06
560198000102,COLE ELEMENTARY,615 WEST 9TH STREET,CHEYENNE,WY,82007,1272,238.0,3077712480,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000103,CORLETT ELEMENTARY,600 WEST 22ND STREET,CHEYENNE,WY,82001,3504,144.0,3077712420,2,Central City,Within MSA,1,Regular,1,Primary,KG,03
560198000104,DAVIS ELEMENTARY,6309 YELLOWSTONE ROAD,CHEYENNE,WY,82009,3447,311.0,3077712600,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000105,DEMING ELEMENTARY,715 WEST 5TH AVENUE,CHEYENNE,WY,82001,1177,220.0,3077712400,2,Central City,Within MSA,1,Regular,1,Primary,KG,04
560198000106,DILDINE ELEMENTARY,4312 VAN BUREN AVENUE,CHEYENNE,WY,82001,2291,508.0,3077712320,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000108,FAIRVIEW ELEMENTARY,2801 EAST 10TH STREET,CHEYENNE,WY,82001,5626,205.0,3077712610,2,Central City,Within MSA,1,Regular,1,Primary,03,06
560198000109,GILCHRIST ELEMENTARY,1108 HAPPY JACK ROAD,CHEYENNE,WY,82007,9553,139.0,3077712285,8,Rural,Within MSA,1,Regular,1,Primary,KG,06
560198000110,GOINS ELEMENTARY,201 SOUTH CRIBBON AVE,CHEYENNE,WY,82007,1179,330.0,3077712620,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000111,HEBARD ELEMENTARY,413 SEYMOUR AVENUE,CHEYENNE,WY,82007,1519,178.0,3077712450,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000112,HENDERSON ELEMENTARY,2820 HENDERSON DRIVE,CHEYENNE,WY,82001,5504,333.0,3077712550,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000113,HOBBS ELEMENTARY,5710 SYRACUSE ROAD,CHEYENNE,WY,82009,4261,462.0,3077712560,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000114,CLAWSON ELEMENTARY,376 ROAD 228A,HORSE CREEK,WY,82061,,5.0,3077712291,4,Urban Fringe,Within MSA,1,Regular,1,Primary,KG,06
560198000115,JESSUP ELEMENTARY,6113 EVERS BOULEVARD,CHEYENNE,WY,82009,3257,312.0,3077712570,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000116,LEBHART ELEMENTARY,807 COOLIDGE STREET,CHEYENNE,WY,82001,6201,199.0,3077712614,2,Central City,Within MSA,1,Regular,1,Primary,KG,02
560198000117,MILLER ELEMENTARY,3501 EVANS AVENUE,CHEYENNE,WY,82001,1470,93.0,3077712376,2,Central City,Within MSA,1,Regular,2,Middle,05,06
560198000118,PIONEER PARK ELEMENTARY,1407 COSGRIFF COURT,CHEYENNE,WY,82001,2453,491.0,3077712316,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000119,ROSSMAN ELEMENTARY,916 WEST COLLEGE DRIVE,CHEYENNE,WY,82007,3364,156.0,3077712544,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000120,WILLADSEN ELEMENTARY,645 HARRIMAN ROAD,GRANITE CANYON,WY,82059,,8.0,3077212295,4,Urban Fringe,Within MSA,1,Regular,1,Primary,KG,06
560198000438,ANDERSON ELEMENTARY,2204 PLAIN VIEW ROAD,CHEYENNE,WY,82009,4433,429.0,3077712606,2,Central City,Within MSA,1,Regular,1,Primary,KG,06
560198000480,AFFLERBACH ELEMENTARY,400 WEST WALLICK ROAD,CHEYENNE,WY,82007,9324,539.0,3077712300,4,Urban Fringe,Within MSA,1,Regular,1,Primary,KG,06
560207000121,CODY HIGH SCHOOL,919 CODY AVENUE,CODY,WY,82414,3531,824.0,3075874251,6,Town,Non-MSA,1,Regular,3,High,09,12
560207000122,EASTSIDE ELEMENTARY,919 CODY AVENUE,CODY,WY,82414,3853,347.0,3075874275,6,Town,Non-MSA,1,Regular,1,Primary,KG,05
560207000125,WAPITI ELEMENTARY,919 CODY AVENUE,WAPITI,WY,82450,,36.0,3075873947,7,Rural,Non-MSA,1,Regular,1,Primary,KG,05
560207000126,GLENN LIVINGSTON ELEMENTARY,919 CODY AVENUE,CODY,WY,82414,4606,294.0,3075874271,6,Town,Non-MSA,1,Regular,1,Primary,KG,05
560207000351,CODY MIDDLE SCHOOL,919 CODY AVENUE,CODY,WY,82414,8400,553.0,3075874273,6,Town,Non-MSA,1,Regular,2,Middle,06,08
560207000430,VALLEY ELEMENTARY,919 CODY AVENUE,CODY,WY,82414,,3.0,3075872287,6,Town,Non-MSA,1,Regular,1,Primary,KG,08
560207000521,SUNSET ELEMENTARY,919 CODY AVENUE,CODY,WY,82414,4412,278.0,3075874279,6,Town,Non-MSA,1,Regular,1,Primary,KG,05
560214000127,DOUGLAS HIGH SCHOOL,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,549.0,3073582940,6,Town,Non-MSA,1,Regular,3,High,09,12
560214000128,DOUGLAS PRIMARY SCHOOL,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,331.0,3073583502,6,Town,Non-MSA,1,Regular,1,Primary,KG,02
560214000129,DRY CREEK ELEMENTARY,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,5.0,3073582351,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560214000130,MOSS AGATE ELEMENTARY,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,14.0,3073583221,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560214000132,SHAWNEE ELEMENTARY,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,4.0,3073583278,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560214000134,WAGONHOUND ELEMENTARY,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,2.0,3073584903,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560214000135,WHITE ELEMENTARY,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,16.0,3073583209,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560214000175,DOUGLAS PATHFINDER ALTERNATIVE,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,100.0,3073588353,N,Unknown,Non-MSA,1,Regular,4,Other,N,N
560214000352,DOUGLAS INTERMEDIATE SCHOOL,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,350.0,3073585250,6,Town,Non-MSA,1,Regular,1,Primary,03,05
560214000368,DOUGLAS MIDDLE SCHOOL,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,389.0,3073589771,6,Town,Non-MSA,1,Regular,2,Middle,06,08
560214000519,NACHTMAN ELEMENTARY,615 HAMILTON STREET,DOUGLAS,WY,82633,2615,3.0,3073586431,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560215000037,GLENROCK INTERMEDIATE SCHOOL,P.O. BOX 1300,GLENROCK,WY,82637,1300,128.0,3074369258,7,Rural,Non-MSA,1,Regular,2,Middle,05,06
560215000136,GLENROCK MIDDLE SCHOOL,P.O. BOX 1300,GLENROCK,WY,82637,1300,110.0,3074369258,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560215000137,GLENROCK HIGH SCHOOL,P.O. BOX 1300,GLENROCK,WY,82637,1300,257.0,3074369201,7,Rural,Non-MSA,1,Regular,3,High,09,12
560215000141,GRANT ELEMENTARY,P.O. BOX 1300,GLENROCK,WY,82637,1300,295.0,3074362774,7,Rural,Non-MSA,1,Regular,1,Primary,KG,04
560215000413,BOXELDER ELEMENTARY,1866 BOXELDER ROAD,GLENROCK,WY,82637,9305,2.0,3074368953,7,Rural,Non-MSA,1,Regular,1,Primary,KG,08
560237000142,HULETT HIGH SCHOOL,P.O. BOX 127,HULETT,WY,82720,127,95.0,3074675231,7,Rural,Non-MSA,1,Regular,3,High,09,12
560237000143,MOORCROFT HIGH SCHOOL,P.O. BOX 129,MOORCROFT,WY,82721,129,182.0,3077563446,7,Rural,Non-MSA,1,Regular,3,High,09,12
560237000144,SUNDANCE HIGH SCHOOL,P.O. BOX 850,SUNDANCE,WY,82729,850,135.0,3072831007,7,Rural,Non-MSA,1,Regular,3,High,09,12
560237000146,FOUR OAKS ELEMENTARY,893 OAK CREEK ROAD,ALADDIN,WY,82710,9724,100.0,3078964836,N,Unknown,Non-MSA,1,Regular,4,Other,N,N
560237000148,MOORCROFT ELEMENTARY,P.O. BOX 40,MOORCROFT,WY,82721,40,217.0,3077563781,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560237000150,SUNDANCE ELEMENTARY,P.O. BOX 870,SUNDANCE,WY,82729,870,181.0,3072831227,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560237000458,HULETT ELEMENTARY,P.O. BOX 127,HULETT,WY,82720,127,136.0,3074675231,7,Rural,Non-MSA,1,Regular,1,Primary,KG,06
560237000459,HULETT JUNIOR HIGH SCHOOL,P.O. BOX 127,HULETT,WY,82720,127,42.0,3074675231,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560237000460,MOORCROFT JUNIOR HIGH SCHOOL,P.O. BOX 129,MOORCROFT,WY,82721,129,63.0,3077563446,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
560237000461,SUNDANCE JUNIOR HIGH SCHOOL,P.O. BOX 850,SUNDANCE,WY,82729,850,71.0,3072831007,7,Rural,Non-MSA,1,Regular,2,Middle,07,08
